SQL, 1, Upd, Table1A, 100, 10, True, 3.67537260055542, 3.7049055099487305, 0.16985782155849383, 2020-03-31_225048
SQL, 1, Upd, Table1B, 100, 10, True, 3.724071979522705, 3.7168264389038086, 0.24027189066280522, 2020-03-31_225048
SQL, 1, Del, Table1A, 100, 10, True, 3.741011619567871, 3.7724971771240234, 0.18387460459183227, 2020-03-31_225048
SQL, 1, Del, Table1B, 100, 10, True, 3.7453794479370117, 3.7850141525268555, 0.17562701617317417, 2020-03-31_225048
AS, 2, Ins, Table2A, 100, 1, True, 1.0164713859558105, 0.9710788726806641, 0.2102524893733566, 2020-03-31_225048
AS, 2, Ins, Table2B, 100, 1, True, 2.0932865142822266, 1.9739866256713867, 0.5005773221309288, 2020-03-31_225048
AS, 2, Ins, Table2A, 100, 1, False, 1.0215973854064941, 0.9949207305908203, 0.1940634448096101, 2020-03-31_225049
AS, 2, Ins, Table2B, 100, 1, False, 1.0713768005371094, 0.9783506393432617, 0.5061831687465298, 2020-03-31_225049
AS, 2, Upd, Table2A, 100, 1, False, 0.9969472885131836, 0.9694099426269531, 0.2807732330066442, 2020-03-31_225049
AS, 2, Upd, Table2B, 100, 1, False, 1.0573387145996094, 0.9864568710327148, 0.3707115944243087, 2020-03-31_225049
AS, 2, Upd, Table2A, 100, 1, True, 1.0366272926330566, 0.9649991989135742, 0.40668119615284287, 2020-03-31_225050
AS, 2, Upd, Table2B, 100, 1, True, 1.0464835166931152, 0.9968280792236328, 0.3382664410207221, 2020-03-31_225050
AS, 2, Del, Table2A, 100, 1, True, 1.0451126098632812, 0.9877681732177734, 0.3559634775077573, 2020-03-31_225051
AS, 2, Del, Table2B, 100, 1, True, 2.6352548599243164, 2.5545358657836914, 0.41367926382332676, 2020-03-31_225051
AS, 2, Del, Table2A, 100, 1, False, 0.9876108169555664, 0.9825229644775391, 0.05546304310903604, 2020-03-31_225051
AS, 2, Del, Table2B, 100, 1, False, 1.151280403137207, 0.9982585906982422, 0.5123913360162161, 2020-03-31_225051
AS, 2, Ins, Table2A, 100, 5, True, 0.9498929977416992, 0.9337663650512695, 0.0879910836917514, 2020-03-31_225052
AS, 2, Ins, Table2B, 100, 5, True, 2.5863027572631836, 2.579331398010254, 0.4565760145986282, 2020-03-31_225052
AS, 2, Ins, Table2A, 100, 5, False, 1.0483717918395996, 0.9741783142089844, 0.57161850115537, 2020-03-31_225052
AS, 2, Ins, Table2B, 100, 5, False, 0.9739303588867188, 0.9672641754150391, 0.06529803935568224, 2020-03-31_225052
AS, 2, Upd, Table2A, 100, 5, False, 0.9977269172668457, 0.9697675704956055, 0.21317018291027878, 2020-03-31_225052
AS, 2, Upd, Table2B, 100, 5, False, 0.9694218635559082, 0.9546279907226562, 0.07237121829003003, 2020-03-31_225052
AS, 2, Upd, Table2A, 100, 5, True, 1.0158801078796387, 0.966191291809082, 0.2951147497406695, 2020-03-31_225053
AS, 2, Upd, Table2B, 100, 5, True, 1.0096955299377441, 0.9998083114624023, 0.062439543165308954, 2020-03-31_225053
AS, 2, Del, Table2A, 100, 5, True, 0.9988641738891602, 0.980377197265625, 0.08903859225561751, 2020-03-31_225054
AS, 2, Del, Table2B, 100, 5, True, 2.69167423248291, 2.650022506713867, 0.2226972121642063, 2020-03-31_225054
AS, 2, Del, Table2A, 100, 5, False, 0.9454774856567383, 0.9353160858154297, 0.087574525842325, 2020-03-31_225054
AS, 2, Del, Table2B, 100, 5, False, 0.9493637084960938, 0.9402036666870117, 0.11663859754991183, 2020-03-31_225054
AS, 2, Ins, Table2A, 100, 10, True, 0.9600973129272461, 0.9329319000244141, 0.11929702814866225, 2020-03-31_225055 x
AS, 2, Ins, Table2B, 100, 10, True, 2.7057623863220215, 2.61843204498291, 0.5443233363953005, 2020-03-31_225055
AS, 2, Ins, Table2A, 100, 10, False, 1.0384750366210938, 1.0104179382324219, 0.24891347370663144, 2020-03-31_225055
AS, 2, Ins, Table2B, 100, 10, False, 1.0237431526184082, 0.9934902191162109, 0.11542709383423903, 2020-03-31_225055
AS, 2, Upd, Table2A, 100, 10, False, 1.0533404350280762, 0.980377197265625, 0.5605495889372544, 2020-03-31_225055
AS, 2, Upd, Table2B, 100, 10, False, 0.9875965118408203, 0.9188652038574219, 0.48896091887636633, 2020-03-31_225055
AS, 2, Upd, Table2A, 100, 10, True, 1.0359787940979004, 0.9454488754272461, 0.6076151058037009, 2020-03-31_225056
AS, 2, Upd, Table2B, 100, 10, True, 1.0812020301818848, 0.9646415710449219, 0.6592554497174437, 2020-03-31_225056
AS, 2, Del, Table2A, 100, 10, True, 0.9618806838989258, 0.9511709213256836, 0.05606273813430555, 2020-03-31_225057
AS, 2, Del, Table2B, 100, 10, True, 2.59676456451416, 2.5653839111328125, 0.1624588972989198, 2020-03-31_225057
AS, 2, Del, Table2A, 100, 10, False, 0.9126949310302734, 0.9025335311889648, 0.05231189304824358, 2020-03-31_225057
AS, 2, Del, Table2B, 100, 10, False, 0.9336376190185547, 0.9199380874633789, 0.07248769784118399, 2020-03-31_225057
SQL, 2, Ins, Table2A, 100, 1, True, 3.654468059539795, 3.655672073364258, 0.30473823774409886, 2020-03-31_225058
SQL, 2, Ins, Table2B, 100, 1, True, 3.685030937194824, 3.7087202072143555, 0.21625717324159527, 2020-03-31_225058
SQL, 2, Upd, Table2A, 100, 1, True, 3.781871795654297, 3.779768943786621, 0.2591505521612509, 2020-03-31_225059
SQL, 2, Upd, Table2B, 100, 1, True, 3.8927602767944336, 3.8039684295654297, 0.5839558372227123, 2020-03-31_225059
SQL, 2, Del, Table2A, 100, 1, True, 3.670682907104492, 3.6873817443847656, 0.173164482901396, 2020-03-31_225059
